model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,alternative,observed,p,p_bh,significant_bh,p_by,significant_by,observable
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8387036693967811,0.7816609169541523,0.8170351482425879,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,1.9007762851548582,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,1.9677180160340404,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,2.71179394570642,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,greater,5.794952231591669,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,greater,4.247700084123736,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,greater,1.0745556111509404,0.3344832758362082,0.4577139564074428,False,1.0,False,h1_total_persistence_normalised__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,greater,1.007385512398912,0.45897705114744264,0.5891800648062835,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,greater,0.9149013639445701,0.5274736263186841,0.6001743391091314,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,greater,1.0922525007494643,0.32448377581120946,0.4577139564074428,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,greater,1.2698564669594932,0.21418929053547323,0.32758362081895903,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.6579035560594824,0.0992450377481126,0.16192315384230788,False,0.6241197966815135,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,greater,0.09983046204769169,1.0,1.0,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,greater,0.9619886178243952,0.5309234538273087,0.6001743391091314,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,greater,2.610022689097712,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,greater,1.0045855314081453,0.4758762061896905,0.5891800648062835,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,greater,1.718260188751262,0.09964501774911254,0.16192315384230788,False,0.6241197966815135,False,h1_total_persistence_normalised__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,2.3221398121243446,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,2.6580073506262507,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,greater,14.808992637587519,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,2.5207648393621627,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,0.8756134701224179,0.663866806659667,0.7102324883755812,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,4.748371959816178,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,greater,9.068145533684937,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,3.3618693097042938,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,1.8217283196589424,0.09614519274036298,0.16192315384230788,False,0.6241197966815135,False,h1_total_persistence_normalised__ratio
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8469208322554895,0.6829158542072896,0.7102324883755812,False,1.0,False,h1_total_persistence_normalised__ratio
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,8.037504588290059,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,7.3304264541402375,4.999750012499375e-05,9.99950002499875e-05,True,0.0003854227004864802,True,h1_total_persistence_normalised__ratio
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.5034081426577199,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
