run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,2,3.5419285300354857,300.0,0.0,0.12033811424401679,0.0,0.09550795388919796
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,0,25.455781032657697,300.0,0.0,0.08827483550047499,0.0,0.04778578444004015
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,1,25.51709030626434,300.0,0.0,0.10507380827349841,0.0,0.04226593219520978
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,2,25.74296521884661,300.0,0.0,0.09340918765478501,0.0,0.03535790369983771
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,0,183.15377658794418,300.0,0.0,0.07420144462194822,0.0,0.04673685713905498
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,1,175.51078871976617,300.0,0.0,0.09260301726506943,1.0,0.05356668549016448
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,2,179.55580018562276,300.0,0.0,0.06604976908774131,0.0,0.04349821131961463
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,0,2.622435825502247,300.0,2.0,0.416612137683233,1.0,0.35504588560436096
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,1,2.6207761555110447,300.0,2.0,0.41448619923475405,1.0,0.356410771736651
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,2,2.6231717799682053,300.0,2.0,0.4179123218083595,1.0,0.354741863963224
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,0,25.23282463923044,300.0,0.0,0.029782663514324424,0.0,0.006635033060323744
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,1,25.23282463923044,300.0,0.0,0.028677764821275424,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,2,25.23282463923044,300.0,0.0,0.02826361678632442,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,0,180.63744534367635,300.0,0.0,0.02530654987660425,0.0,0.0002513831087972329
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,1,180.63744534367635,300.0,0.0,0.024713282572146354,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,2,180.63744534367635,300.0,0.0,0.02631394069369587,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,0,4.6188837728639385,300.0,0.0,0.08167365822449486,0.0,0.06308154806614602
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,1,4.632510700205637,300.0,0.0,0.07923183060732793,0.0,0.0621802452690517
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,2,4.613522557121845,300.0,0.0,0.07991151196051326,0.0,0.05809209394181735
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,0,33.28004367543669,300.0,1.0,0.20755195545290656,0.0,0.044171110285446416
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,1,33.48984366275523,300.0,1.0,0.19899126865953445,1.0,0.05904940300341445
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,2,32.8889947326102,300.0,1.0,0.22139606880125254,1.0,0.058023011499957554
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,0,246.6038026057005,300.0,1.0,0.2217834039456048,0.0,0.029999919300007904
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,1,246.7394511432465,300.0,1.0,0.21983246045934016,0.0,0.03812454713017566
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,2,247.19218576500413,300.0,1.0,0.22461011731782254,0.0,0.03424552112571276
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,0,3.7624777131154987,300.0,0.0,0.17362060608351193,0.0,0.12386164100207298
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,1,3.77157355241466,300.0,0.0,0.17054444054987367,0.0,0.1164438854377795
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,2,3.7573197892229073,300.0,0.0,0.17171656655377263,0.0,0.12834219691928178
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,0,30.975076711869402,300.0,1.0,0.37036891774635833,0.0,0.04386470728792765
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,1,31.491226317629206,300.0,1.0,0.366838299756832,0.0,0.049675926699113
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,2,31.544440289594153,300.0,1.0,0.36773672039717487,1.0,0.05124242428943832
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,0,237.46606330818858,300.0,1.0,0.3214535160580177,0.0,0.033265074657050996
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,1,235.19127312619065,300.0,1.0,0.3231867373967015,0.0,0.0356128178706502
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,2,237.46606330818858,300.0,1.0,0.31836157933545955,0.0,0.04257274009099949
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,0,2.943389154897257,300.0,2.0,0.4763115050388786,1.0,0.4255473639783191
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,1,2.9414177617832076,300.0,2.0,0.4788230606663866,1.0,0.42550273799500393
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,2,2.940439434826239,300.0,2.0,0.48345017731094486,1.0,0.42368587950500725
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,0,28.033581210708103,300.0,1.0,0.5175565333237088,0.0,0.0004782390604778682
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,1,28.033581210708103,300.0,1.0,0.5203688455381604,0.0,0.0003232485099346069
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,2,28.033581210708103,300.0,1.0,0.5180844762650587,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,0,224.13602598823582,300.0,1.0,0.4303476766491668,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,1,224.13602598823582,300.0,1.0,0.4396161925184553,0.0,4.3161612342197777e-05
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,2,224.13602598823582,300.0,1.0,0.431498248054517,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,0,19.912694992959693,300.0,0.0,0.1075933328754689,0.0,0.0554534692619339
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,1,20.150354719997257,300.0,0.0,0.09990894889258652,0.0,0.046453912390744416
