window,task,feature_set,n_features,n_folds,score_mean,score_std,n_compressed,increment_over_baselines,variant,n_runs,n_groups,target_range
w1000,regression,topology_vector_permuted,656,5,-64.02015141523486,126.12133330687215,656,,full,86.0,19.0,2.1115069112355225
w1000,regression,weight_norm,2,5,-1.0255453110413013,0.8464032057561452,0,,holdout,83.0,18.0,1.958607314841775
w1000,regression,lid,2,5,-0.7324156015212848,0.9847332935908875,0,,holdout,83.0,18.0,1.958607314841775
w1000,regression,fourier,28,5,-8.355254005949858,15.814438357559768,0,,holdout,83.0,18.0,1.958607314841775
w1000,regression,topology,12,5,-0.7075591362561101,0.993465874747844,0,,holdout,83.0,18.0,1.958607314841775
w1000,regression,baselines,32,5,-12.682440250830947,22.95684390442955,0,,holdout,83.0,18.0,1.958607314841775
w1000,regression,baselines+topology,44,5,-9.965848636751636,18.880970275953658,0,2.716591614079311,holdout,83.0,18.0,1.958607314841775
w1000,regression,topology_vector,656,5,-2.59363162497501,3.25692459890744,656,,holdout,83.0,18.0,1.958607314841775
w1000,regression,baselines+topology_vector,688,5,-1.7632887279090035,2.102325552978732,656,,holdout,83.0,18.0,1.958607314841775
w1000,regression,topology_vector_permuted,656,5,-126.11622471595884,248.7032042831291,656,,holdout,83.0,18.0,1.958607314841775
w1000,regression,weight_norm,2,5,-1.3441881181318307,1.7589311142931872,0,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,lid,2,5,-0.9830677118697793,1.1822626580811946,0,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,fourier,28,5,-3.4409063153836668,4.6049982297908665,0,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,topology,12,5,-1.1914270065134467,1.4864054963178965,0,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,baselines,32,5,-2.7815059485772218,3.687938266255493,0,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,baselines+topology,44,5,-2.768573168475187,3.1819670430749434,0,0.012932780102034691,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,topology_vector,656,5,-1.1584136797634894,1.2763813649006392,656,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,baselines+topology_vector,688,5,-0.8761269405869987,0.9778254195652486,656,,winsorised,86.0,19.0,2.1115069112355225
w1000,regression,topology_vector_permuted,656,5,-105.65192280781291,208.34730813442573,656,,winsorised,86.0,19.0,2.1115069112355225
w2000,classification,weight_norm,2,5,0.6662833008447044,0.23912540628795545,0,,full,,,
w2000,classification,lid,2,5,0.5676461032756183,0.07838772480090159,0,,full,,,
w2000,classification,fourier,28,5,0.7020913121583916,0.13350975952072952,0,,full,,,
w2000,classification,topology,12,5,0.7250206398348814,0.08433674338042688,0,,full,,,
w2000,classification,baselines,32,5,0.7763905133203378,0.0977885667840339,0,,full,,,
w2000,classification,baselines+topology,44,5,0.7748159614723082,0.11210427213870479,0,-0.0015745518480295706,full,,,
w2000,classification,topology_vector,656,5,0.6865420632190498,0.12541344164257462,656,,full,,,
w2000,classification,baselines+topology_vector,688,5,0.8102692734013685,0.09855931182045001,656,,full,,,
w2000,classification,topology_vector_permuted,656,5,0.39722604441386694,0.08934412898806034,656,,full,,,
w2000,regression,weight_norm,2,5,-0.6271779560610126,0.6819412336559543,0,,full,84.0,18.0,1.8306803016598283
w2000,regression,lid,2,5,-0.5428844639155631,0.7027481249009944,0,,full,84.0,18.0,1.8306803016598283
w2000,regression,fourier,28,5,-3.408580891629974,5.782647813576276,0,,full,84.0,18.0,1.8306803016598283
w2000,regression,topology,12,5,-0.8605144752504603,0.8836407053650638,0,,full,84.0,18.0,1.8306803016598283
w2000,regression,baselines,32,5,-4.3139524150964315,7.566835067185479,0,,full,84.0,18.0,1.8306803016598283
w2000,regression,baselines+topology,44,5,-4.840183529215345,8.318276895487388,0,-0.5262311141189135,full,84.0,18.0,1.8306803016598283
w2000,regression,topology_vector,656,5,-1.4353136600440808,1.180815422523467,656,,full,84.0,18.0,1.8306803016598283
w2000,regression,baselines+topology_vector,688,5,-8.286377840658742,14.085036419009565,656,,full,84.0,18.0,1.8306803016598283
w2000,regression,topology_vector_permuted,656,5,-1.263499416741905,1.6496457659819888,656,,full,84.0,18.0,1.8306803016598283
w2000,regression,weight_norm,2,5,-1.0783677513915673,0.8539373858427824,0,,holdout,81.0,17.0,1.677780705266081
w2000,regression,lid,2,5,-0.9687717456646878,0.7730053556545348,0,,holdout,81.0,17.0,1.677780705266081
w2000,regression,fourier,28,5,-2.29386694123951,1.2604546206178189,0,,holdout,81.0,17.0,1.677780705266081
w2000,regression,topology,12,5,-1.5177684247797314,1.4673915098020736,0,,holdout,81.0,17.0,1.677780705266081
w2000,regression,baselines,32,5,-2.5743318218447397,1.3852005134723824,0,,holdout,81.0,17.0,1.677780705266081
w2000,regression,baselines+topology,44,5,-3.064804861587661,1.725543287137507,0,-0.4904730397429211,holdout,81.0,17.0,1.677780705266081
w2000,regression,topology_vector,656,5,-2.5983516476976343,1.7533048287532509,656,,holdout,81.0,17.0,1.677780705266081
w2000,regression,baselines+topology_vector,688,5,-3.408336873177317,1.7524267713849018,656,,holdout,81.0,17.0,1.677780705266081
w2000,regression,topology_vector_permuted,656,5,-1.7952170971017025,1.8079236475868488,656,,holdout,81.0,17.0,1.677780705266081
w2000,regression,weight_norm,2,5,-0.883591191893796,0.8642630171787437,0,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,lid,2,5,-0.7347363046398393,0.9169045733446102,0,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,fourier,28,5,-3.0706312235195883,4.785710191456532,0,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,topology,12,5,-1.140591439140641,1.1068026158527693,0,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,baselines,32,5,-3.7589161314106976,5.960458530080443,0,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,baselines+topology,44,5,-4.159109847369279,6.385435562523063,0,-0.4001937159585811,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,topology_vector,656,5,-1.9555074484260389,1.6470550291846142,656,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,baselines+topology_vector,688,5,-7.522766452786074,11.486561113121843,656,,winsorised,84.0,18.0,1.8306803016598283
w2000,regression,topology_vector_permuted,656,5,-1.5177790569335612,1.8622012679142081,656,,winsorised,84.0,18.0,1.8306803016598283
w500,classification,weight_norm,2,5,0.7164052287581699,0.1384193369946212,0,,full,,,
w500,classification,lid,2,5,0.5216339869281046,0.059861717134995454,0,,full,,,
w500,classification,fourier,28,5,0.6973856209150326,0.11458319789583414,0,,full,,,
w500,classification,topology,12,5,0.7177777777777777,0.10227716123913852,0,,full,,,
w500,classification,baselines,32,5,0.7645098039215686,0.13344407806336855,0,,full,,,
w500,classification,baselines+topology,44,5,0.7837908496732027,0.10964694661836107,0,0.01928104575163403,full,,,
w500,classification,topology_vector,656,5,0.6925490196078432,0.10820564937717507,656,,full,,,
w500,classification,baselines+topology_vector,688,5,0.6943790849673203,0.10184663461058908,656,,full,,,
w500,classification,topology_vector_permuted,656,5,0.6029411764705882,0.08239028098395555,656,,full,,,
w500,regression,weight_norm,2,5,-0.5220748608336059,0.5564713695848982,0,,full,91.0,21.0,2.374748346010104
w500,regression,lid,2,5,-0.14473310639531073,0.6328527403998077,0,,full,91.0,21.0,2.374748346010104
w500,regression,fourier,28,5,-0.6807116338755559,1.485949988442839,0,,full,91.0,21.0,2.374748346010104
w500,regression,topology,12,5,-0.29143707816526343,0.48847700154567747,0,,full,91.0,21.0,2.374748346010104
w500,regression,baselines,32,5,-0.6051942407245221,1.4415298198650321,0,,full,91.0,21.0,2.374748346010104
w500,regression,baselines+topology,44,5,-1.6482014405302088,2.4632708605452245,0,-1.0430071998056867,full,91.0,21.0,2.374748346010104
w500,regression,topology_vector,656,5,-0.6441843249867348,0.9149169371134692,656,,full,91.0,21.0,2.374748346010104
w500,regression,baselines+topology_vector,688,5,-0.6373138342490281,1.3579220620382664,656,,full,91.0,21.0,2.374748346010104
w500,regression,topology_vector_permuted,656,5,-0.638127515310772,0.8324661054825002,656,,full,91.0,21.0,2.374748346010104
w500,regression,weight_norm,2,5,-0.8931905762328644,1.4363496484975427,0,,holdout,88.0,20.0,2.2218487496163566
w500,regression,lid,2,5,-0.5852171284041995,1.372894785903939,0,,holdout,88.0,20.0,2.2218487496163566
w500,regression,fourier,28,5,-2.8018063183886137,4.855544591288341,0,,holdout,88.0,20.0,2.2218487496163566
