run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
transformer_add113_f0.3_wd0.1_recipe-rT-lr1e-3_s0,188000.0,0,120,0,,,,,1.0180220656203283,0.9770055404871204,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-lr1e-3_s1,65500.0,0,120,0,3.5176805979423107,129.9164639867037,4.836470594202402,205.683461771799,0.6344673308015569,1.2405637422125357,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-lr1e-3_s2,66500.0,0,120,0,3.723936293500253,139.75801224946466,8.609767272817015,349.6488950059343,0.48980521492813545,1.225743252679352,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-relu_s0,12500.0,3,120,3,1.6547354079947614,14.692000404706887,7.91759791775687,75.81366846940493,0.20036548720286704,0.49521463467399973,1.6510518361821844,14.560624806632125,7.912312560761858,76.0095310866336,0.19882928720636922,0.49414714056213727
transformer_add113_f0.3_wd0.1_recipe-rT-relu_s1,12500.0,0,120,0,2.11796477085959,7.756223966097928,7.126053504084463,31.41909337925882,0.25355255313689223,0.23601118233494991,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-relu_s2,14000.0,2,120,2,1.6596858397676568,12.885942321884304,3.1221162949220083,37.12875491101091,0.5741225960867908,0.5892824674308966,1.6607639725154084,12.885942321884304,3.126327818489942,37.09952224196193,0.5741225960867908,0.5892824674308966
transformer_add113_f0.3_wd0.1_recipe-rT-wide_s0,13000.0,3,120,1,2.0205890092309002,3.7426163292882735,4.509784706814007,11.004830114718498,0.34549382580379623,0.28864933280536953,2.0171661035502657,3.7323456000286055,4.507034299384005,10.994375711792772,0.34620259938840836,0.2886625633692171
transformer_add113_f0.3_wd0.1_recipe-rT-wide_s1,13000.0,1,120,1,0.5879720566299632,2.534999753963906,2.0964253124797,7.094077206278768,0.3532480312656054,0.5604411355362396,0.5887309791897577,2.536829229260641,2.0943447005902094,6.997772689264263,0.3538942543131663,0.5595796095598004
transformer_add113_f0.3_wd0.1_recipe-rT-wide_s2,8000.0,3,120,2,0.9131188344478908,2.066909866944314,4.586128471701067,10.316676543223057,0.18854003642551073,0.5601647820515439,0.9156752525848274,2.066909866944314,4.586128471701067,10.316676543223057,0.18854003642551073,0.5607813679470485
transformer_add113_f0.3_wd0.1_recipe-rT_s0,13000.0,2,120,1,0.9408188479809292,6.424129243908563,2.65580151211695,18.04938750029887,0.3298096912376695,0.5560842930547426,0.9395850140557893,6.414153569332472,2.6469259301527615,18.079412764779388,0.3296306046507513,0.5568123882514129
transformer_add113_f0.3_wd0.1_recipe-rT_s1,11000.0,4,120,3,0.8534650456761009,3.4871003292287424,3.1563716450114034,11.450768568674368,0.28060250521681823,0.5571521858819087,0.8549857532269589,3.4944282816182697,3.159810817906384,11.459801743291774,0.2806632545917473,0.5582884100352038
transformer_add113_f0.3_wd0.1_recipe-rT_s2,14000.0,1,120,0,1.3693552189310234,3.4131220730025604,2.70829362164571,6.560383641890043,0.5073508121314221,0.588027231051475,,,,,,
transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000.0,0,120,0,1.4026492717446335,15.318864946567928,2.899287092566698,29.75395345343068,0.4515839976201352,0.4573352070046939,,,,,,
transformer_add113_f0.3_wd0.1_softmax_ce_s1,12000.0,0,120,0,2.041051951171681,12.599851753984009,5.768599048467296,37.6186270236315,0.3579908900749746,0.5439257389740173,,,,,,
transformer_add113_f0.3_wd0.1_softmax_ce_s2,14000.0,1,120,2,1.6784325739430757,6.863249401734347,3.1024682427764594,14.808992637587519,0.48574269313191204,0.48335024124921316,1.6784325739430757,6.792599395814047,3.1024682427764594,14.699853952909047,0.48574269313191204,0.48335024124921316
transformer_add113_f0.3_wd0.1_softmax_ce_s3,11500.0,1,120,2,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208
transformer_add113_f0.3_wd0.1_softmax_ce_s4,10500.0,2,120,4,0.7001055366839773,1.9480982962905895,2.3776975901703756,6.478398286980889,0.2898449501933095,0.6572189689624295,0.7813610764979012,2.2903021844354736,2.462414657700044,6.516515453604929,0.3321343454856529,0.662496642327849
transformer_add113_f0.3_wd1.0_dense_s0,21500.0,0,188,0,0.8967164187879048,1.8121197567138485,1.0353434556210954,1.864119703605263,0.827520189700718,1.1422292179605247,,,,,,
transformer_add113_f0.3_wd1.0_dense_s1,22300.0,2,188,3,0.7012609627920412,1.1802717848449076,0.9472751166666864,1.4670425572172534,0.8129818648465207,1.1083109115959067,0.7012609627920412,1.1802717848449076,0.9472751166666864,1.4670425572172534,0.8129818648465207,1.1083109115959067
