window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range
w2000,regression,lid,2,5,-0.33435041767505064,0.3971881046919075,,holdout,80,20,False,2.3010299956639813
w2000,regression,fourier,28,5,-0.5462597785497124,0.6976062394532687,,holdout,80,20,False,2.3010299956639813
w2000,regression,topology,12,5,-0.16353625411811018,0.43433963617609855,,holdout,80,20,False,2.3010299956639813
w2000,regression,baselines,32,5,-0.19348583433903652,0.6631786517367777,,holdout,80,20,False,2.3010299956639813
w2000,regression,baselines+topology,44,5,-0.4359594911102137,0.7177398779559595,-0.2424736567711772,holdout,80,20,False,2.3010299956639813
w2000,regression,weight_norm,2,5,-0.4182379408940401,0.6671540216450903,,winsorised,83,21,False,2.4539295920577286
w2000,regression,lid,2,5,-0.1708560465679309,0.2605204119060341,,winsorised,83,21,False,2.4539295920577286
w2000,regression,fourier,28,5,-0.1877832326173285,0.3996047805879895,,winsorised,83,21,False,2.4539295920577286
w2000,regression,topology,12,5,-0.30747547678033427,0.5972709954358867,,winsorised,83,21,False,2.4539295920577286
w2000,regression,baselines,32,5,-0.26021199749947066,0.30989811549983465,,winsorised,83,21,False,2.4539295920577286
w2000,regression,baselines+topology,44,5,-0.32363601458847585,0.48774126407786544,-0.06342401708900519,winsorised,83,21,False,2.4539295920577286
w5000,classification,weight_norm,2,5,0.5470440947940948,0.1645356683122465,,full,107,27,True,
w5000,classification,lid,2,5,0.6804292929292929,0.20562456960723488,,full,107,27,True,
w5000,classification,fourier,28,5,0.7408873348873348,0.2226831738534719,,full,107,27,True,
w5000,classification,topology,12,5,0.8070337995337995,0.14152776527029734,,full,107,27,True,
w5000,classification,baselines,32,5,0.7966759906759907,0.14921508180996834,,full,107,27,True,
w5000,classification,baselines+topology,44,5,0.8177700077700077,0.1412510556657397,0.021094017094017037,full,107,27,True,
w5000,regression,weight_norm,2,5,-0.34052809433202,0.2800100619527847,,full,62,16,True,1.374748346010104
w5000,regression,lid,2,5,-0.08869650780888076,0.09709190325592008,,full,62,16,True,1.374748346010104
w5000,regression,fourier,28,5,-2.02371531241137,2.45599782513761,,full,62,16,True,1.374748346010104
w5000,regression,topology,12,5,-0.4041790773224048,0.07563636037824513,,full,62,16,True,1.374748346010104
w5000,regression,baselines,32,5,-1.9210197911014955,2.298390804521053,,full,62,16,True,1.374748346010104
w5000,regression,baselines+topology,44,5,-1.8958173593206387,2.169045423508875,0.025202431780856793,full,62,16,True,1.374748346010104
w5000,regression,weight_norm,2,5,-10.559528444255355,20.2830478373275,,holdout,59,15,True,1.2218487496163566
w5000,regression,lid,2,5,-9.912752201660982,19.177678470155435,,holdout,59,15,True,1.2218487496163566
w5000,regression,fourier,28,5,-349.59795167101373,696.4253984758387,,holdout,59,15,True,1.2218487496163566
w5000,regression,topology,12,5,-12.948324330622873,24.62775613541241,,holdout,59,15,True,1.2218487496163566
w5000,regression,baselines,32,5,-82.74038965695844,162.8780046736583,,holdout,59,15,True,1.2218487496163566
w5000,regression,baselines+topology,44,5,-74.3156077945035,144.92047097123918,8.424781862454935,holdout,59,15,True,1.2218487496163566
