run,kind,landmarks,n_snapshots,t_g,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,t_top,lead_lag_steps,scale_collapse,condition,is_null
mlp_add97_f0.3_wd1.0_softmax_ce_s0,logits,300,127,14300.0,0.120595504492809,0.4895027338296782,4.059046279447895,10.292579650878906,43.5780029296875,4.233924284080355,22827.0,-8527.0,0.0101832425514947,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s1,logits,300,127,13200.0,0.1382325516879216,0.6030766385409876,4.362768618367933,11.523643493652344,62.48083114624024,5.421968423498785,22827.0,-9627.0,0.0082971327253419,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s2,logits,300,127,12100.0,0.1326728953911855,0.3165452353916921,2.385907343458208,10.692047119140623,34.83485794067383,3.2580157525038747,16955.0,-4855.0,0.0080253357894238,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s3,logits,300,127,9500.0,0.1351776513763925,0.2136302604519041,1.5803667120762874,11.262950897216797,21.52154541015625,1.9108265326340423,9355.0,145.0,0.0090675588832326,mlp add97 f0.3 wd1 lr0.001,False
mlp_add97_f0.3_wd1.0_softmax_ce_s4,logits,300,127,12100.0,0.1206273238429668,0.3118842261704773,2.5855189042947635,10.215919494628906,28.743427276611328,2.813591795797078,12594.0,-494.0,0.0094481660954811,mlp add97 f0.3 wd1 lr0.001,False
transformer_add113_f0.3_wd0.1_softmax_ce_s0,embedding,0,120,13000.0,0.0428510207754598,0.124237411437598,2.8992870925666936,0.0506216287612915,0.0710043907165527,1.4026492717446335,15126.0,-2126.0,24.79703477570308,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s1,embedding,0,120,12000.0,0.0346980557518919,0.2001591713940288,5.768599048467292,0.0513620972633361,0.1048327088356018,2.041051951171678,14622.0,-2622.0,27.479138439776825,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s2,embedding,0,120,14000.0,0.049225396670961,0.1527202299097306,3.102468242776457,0.0535041093826293,0.0898030400276184,1.6784325739430737,16639.0,-2639.0,25.88883639240269,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s3,embedding,0,120,11500.0,0.0377622308733479,0.082995660265309,2.1978484413082224,0.0485206842422485,0.0464015752077102,0.9563256564157624,13613.0,-2113.0,27.68171830677264,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s4,embedding,0,120,10500.0,0.0527924186665157,0.1255244066426398,2.3776975901703725,0.0955601930618286,0.066902220249176,0.7001055366839775,12101.0,-1601.0,25.25347624122946,transformer add113 f0.3 wd0.1 lr0.003,False
