window,stride,alpha,repeat,ph_dim,slope,r2,n_sizes
200,20,1.5,9,1.6525338274884196,0.3948686657023924,0.9928736219235079,8.0
200,20,2.0,0,2.208958758884904,0.547298021758991,0.9992418731284708,8.0
200,20,2.0,1,2.2686749366002443,0.5592140663842461,0.9988393753721297,8.0
200,20,2.0,2,2.3940846622643512,0.5823038275287269,0.9982331184735389,8.0
200,20,2.0,3,2.3629073414098776,0.5767925459983,0.9998008015268408,8.0
200,20,2.0,4,2.2936951334522924,0.5640222689512894,0.9992685138686751,8.0
200,20,2.0,5,2.280165368507456,0.5614353178889928,0.9987355778909327,8.0
200,20,2.0,6,2.3005296796672137,0.5653174967320325,0.9994957184517469,8.0
200,20,2.0,7,2.2620458945413455,0.5579223204917507,0.9990690103201344,8.0
200,20,2.0,8,2.2578695248943976,0.5571046116817707,0.9987352393749755,8.0
200,20,2.0,9,2.348464067886778,0.5741897805999512,0.9992146678389169,8.0
