run,condition,n_draws,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,8,46000,1.13080519891809,0.11567438763390847,0.9551687925093086,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,1,50000,1.11850618700984,0.10595040813019432,0.9442294383052261,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,1,49000,1.0827708575755204,0.07644355866841142,0.907914347082394,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,1,48000,1.0915186020131915,0.08384520597669608,0.8617155770330878,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,1,47000,1.099952589671711,0.09086990713076337,0.8931623985493323,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,1,46000,1.1031166457001942,0.09347755389434964,0.9683539873392925,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,4,50000,1.1238455231064755,0.11019799479571547,0.9419721765634431,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,4,49000,1.1148948407396968,0.10305441961097223,0.9250837664001897,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,4,48000,1.1058910618999624,0.09575180191621918,0.9149620098347016,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,4,47000,1.1109386427226184,0.09986027891759801,0.9100255062980593,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,4,46000,1.1118948375591613,0.1006343709669464,0.9455637377310058,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,8,50000,1.1063237957190124,0.0961054947298783,0.9660540224016282,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,8,49000,1.106465612085535,0.09622134743515608,0.9647336356965022,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,8,48000,1.111877915471233,0.10062068318338474,0.9532572620491442,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,8,47000,1.111861760539046,0.10060761554099469,0.9449468202622654,8.0
transformer_add113_f0.3_wd1.0_dense_s1,transformer_add113_f0.3_wd1.0_dense,8,46000,1.1082063702507479,0.09764099282903824,0.9582819544914778,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,1,50000,1.156988834685284,0.13568742409514,0.9573859562530697,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,1,49000,1.078955082923278,0.07317735851372069,0.8816756782971116,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,1,48000,1.1088784672685272,0.09818791732580463,0.943471854910397,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,1,47000,1.1263188098172556,0.11215191357565174,0.8805964443222691,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,1,46000,1.1389836975663072,0.12202430804170154,0.9297629777531187,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,4,50000,1.1419821509311527,0.1243295710142079,0.8723599591592421,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,4,49000,1.118541185241021,0.10597838220456593,0.9636292468548499,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,4,48000,1.1080670058606201,0.09752750085423402,0.955587022654543,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,4,47000,1.1326904056930478,0.11714622550533559,0.9325000340500915,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,4,46000,1.128586940426087,0.11393622929708937,0.9506161397204989,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,8,50000,1.1339535475097862,0.11812966042917222,0.9553609265207145,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,8,49000,1.1190095650577434,0.10635258962384485,0.9591571981068353,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,8,48000,1.1188524301661655,0.10622708318067842,0.9725628997254826,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,8,47000,1.1298449217441804,0.1149227820962672,0.9782511420464529,8.0
transformer_add113_f0.3_wd1.0_dense_s2,transformer_add113_f0.3_wd1.0_dense,8,46000,1.1373861239723673,0.12079110257872744,0.9717774902590184,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,1,50000,1.0897304985689131,0.08234191727840204,0.9505973771887046,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,1,49000,1.1295419161880886,0.11468535548044026,0.8982142789509494,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,1,48000,1.105607700957061,0.09552004826453582,0.905177706452689,8.0
