run,t_g,grokked,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,dominance__baseline,dominance__plateau,share__baseline,share__plateau,n_bars__baseline,n_bars__plateau,dominance__ratio,share__ratio
transformer_add97_f0.3_wd0.3_softmax_ce_s4,42600.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,1.7429399344498135,1.7557417150016055,0.04321671767972526,0.02475157380094404,85.0,143.0,1.007344935013973,0.5727314597183307
transformer_add97_f0.3_wd1.0_softmax_ce_s0,27600.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,1.6092249106987122,1.9373250497539152,0.032653739373419824,0.026697853176002248,98.5,151.0,1.2038870619475712,0.8176047732448777
transformer_add97_f0.3_wd1.0_softmax_ce_s1,28600.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,1.9060257822128452,1.7134565230928145,0.04603499264453774,0.04281950754798383,83.0,85.0,0.8989681771793963,0.9301512846676768
transformer_add97_f0.3_wd1.0_softmax_ce_s2,30000.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,1.6744356703405239,1.6333796069271225,0.038721589035214304,0.01360108520185203,90.5,261.0,0.97548065647392,0.35125328119883953
transformer_add97_f0.3_wd1.0_softmax_ce_s3,34700.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,1.8004457022097733,1.6456563815885272,0.04575798140419889,0.027785820790729318,85.5,128.5,0.9140272209090973,0.6072344089064122
transformer_add97_f0.3_wd1.0_softmax_ce_s4,25700.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,1.988426838743154,1.720616490450142,0.06326570747952595,0.018251525646006368,65.0,188.5,0.8653154629202804,0.28849002679552627
transformer_add97_f0.3_wd3.0_softmax_ce_s0,49300.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,1.6972246830094737,1.681879947293461,0.033318687429247755,0.10275508694043656,108.0,22.0,0.9909589249616593,3.084007650620602
transformer_add97_f0.3_wd3.0_softmax_ce_s1,63700.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,1.670175912554791,1.826664281146559,0.03926875965915797,0.14932284094574502,94.0,25.0,1.0936957403201888,3.802586133145691
transformer_add97_f0.3_wd3.0_softmax_ce_s2,47500.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,1.8912407727274732,1.6549798675331484,0.032486956996837735,0.10614639869204952,114.0,32.5,0.875076241692062,3.2673543016781093
transformer_add97_f0.3_wd3.0_softmax_ce_s3,78000.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,1.7240832435407636,1.8427275226302395,0.03624055989548417,0.14550057366754332,102.0,20.0,1.0688158646248513,4.014854463815105
transformer_add97_f0.3_wd3.0_softmax_ce_s4,39100.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,1.4865307811466328,1.7063264571337664,0.03832367436284084,0.10878741972282549,73.0,29.5,1.1478581397538197,2.838647951468538
transformer_add97_f0.4_wd0.0_softmax_ce_s0,3800.0,True,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,1.4604271252658092,2.3093042288408756,0.03782709771783397,0.059035181470988914,80.0,79.0,1.581252627323369,1.5606584970212023
transformer_add97_f0.4_wd0.0_softmax_ce_s1,8800.0,True,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,2.104168077979752,1.861978509384295,0.08210610970412056,0.056269491999902846,56.0,63.5,0.8849000842043059,0.6853264903510453
transformer_add97_f0.4_wd0.0_softmax_ce_s2,,False,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,1.6231201243939446,1.643298036120151,0.03308961676972738,0.03316014098584728,106.5,108.0,1.0124315578514194,1.0021313095467586
transformer_add97_f0.4_wd0.0_softmax_ce_s3,4900.0,True,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,1.5629297707385634,1.7640085104090921,0.036388289770687456,0.044870732941529025,98.0,77.0,1.128655006408579,1.233109146494557
transformer_add97_f0.4_wd0.0_softmax_ce_s4,,False,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,1.8054148342265255,1.7548756763502422,0.03941213873793302,0.03905382985609914,86.0,86.0,0.9720069000663024,0.9909086668902589
transformer_add97_f0.4_wd0.0_stablemax_ce_s0,,False,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,,,,,0.0,0.0,,
