run,model,operation,modulus,weight_decay,circularity,h1_max_persistence__ratio,h1_total_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,h0_total_persistence__ratio,lid__ratio
transformer_add97_f0.3_wd3.0_softmax_ce_s3,transformer,add,97,3.0,0.1167374743626925,0.16942882864756428,0.04023162981729042,0.19300226071205842,0.04274654385009632,0.9634188004033121,1.8195246385972264
transformer_add97_f0.3_wd3.0_softmax_ce_s4,transformer,add,97,3.0,0.1368791569618209,0.36370894931118797,0.14592902949354633,0.34929389505887964,0.14346410948114655,1.0751005781262006,1.9347743371282635
transformer_add97_f0.4_wd0.0_softmax_ce_s0,transformer,add,97,0.0,0.1693967085713115,1.5164937437523698,0.9683052786810121,1.522648846467533,0.9722354092697271,1.0038381239013912,0.9791897108669667
transformer_add97_f0.4_wd0.0_softmax_ce_s1,transformer,add,97,0.0,0.3499231678083568,0.9624148054695244,1.3227358832548475,0.9910888861383316,1.33963400760315,0.9288446789465632,0.7457024145369554
transformer_add97_f0.4_wd0.0_softmax_ce_s3,transformer,add,97,0.0,0.1758926856496888,0.9884498889954058,0.8016340089593035,0.9886170888740143,0.8017339087263065,0.9987525461196205,1.0613282040599121
transformer_add97_f0.4_wd0.0_stablemax_ce_s3,transformer,add,97,0.0,0.3966817508890788,1.1050806718596529,1.9291257204561951,0.9883500229040859,1.718260188751262,1.1449475722575033,0.9203532319374531
transformer_add97_f0.4_wd1.0_softmax_ce_s0,transformer,add,97,1.0,0.2347363101139236,0.664789989321529,2.261936233670296,0.8323371464004539,3.046014288484369,0.8700485083371804,2.2225520520654953
transformer_add97_f0.4_wd1.0_softmax_ce_s1,transformer,add,97,1.0,0.2743482655321146,0.7398790417147293,2.063924012191657,1.0152570934078067,2.6303277742097166,0.8132152764912469,1.5574655325476023
transformer_add97_f0.4_wd1.0_softmax_ce_s2,transformer,add,97,1.0,0.3320738657899126,0.21034431851503343,0.416623380051536,1.3518502231636247,2.610022689097712,0.15139128014963296,0.8119094063632909
transformer_add97_f0.4_wd1.0_softmax_ce_s3,transformer,add,97,1.0,0.3030454502706953,0.9233354872167703,1.4001713363970014,1.2603312988499946,1.7552189017013347,0.7241195704694432,1.0799642471915194
transformer_add97_f0.4_wd1.0_softmax_ce_s4,transformer,add,97,1.0,0.3740981363532329,0.46087998116259965,0.6908066175896895,1.375050586739729,2.4449183663459753,0.3088063077820214,1.2319185403687307
