run,condition,t_g,window,projection_dim,projection_seed,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,7980,1.1140222870316558,0.10235189040559634,0.2715679878490076,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,8980,1.3531907231208982,0.26100587085486776,0.49524033518290356,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,9980,1.3932291572248137,0.2822429857899978,0.5779742964293964,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,10980,1.5513605209898793,0.35540450690215564,0.6261235424717136,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,11980,1.479259293661869,0.3239859946902714,0.8836875069556217,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,12980,1.2036535396476538,0.169196145684305,0.5775023619244442,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,13980,1.1405871397863123,0.1232585699788367,0.5164168727622771,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,14980,1.441227899988803,0.30614720960663544,0.3559375513257047,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,15980,1.0778921149736391,0.07226336837573409,0.3717251425875686,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,16980,1.1441944370595236,0.1260226692152867,0.3761345352121106,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,17980,1.1315661193613682,0.116269051459071,0.5222458702641084,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,18980,1.1761679043386373,0.14978125460556332,0.7944134571762258,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,19980,1.10489752767124,0.09493869344818745,0.5878072588994936,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,20980,1.1109670628252601,0.09988330575981601,0.3299079441550615,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,21980,1.166349506568131,0.1426240639116813,0.6146663194150359,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,22980,1.2020060535192205,0.16805743442621557,0.9333469594153141,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,23980,1.047864726740934,0.04567834522858957,0.14060001078155704,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,24980,1.156250035606058,0.13513516176815368,0.5905583505630976,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,25980,1.2445204900912321,0.19647767315852466,0.8226956185693649,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,26980,1.0950310396389284,0.08678387753306391,0.540372937159278,8.0
