run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,scale_collapse,in_window_drift
transformer_add97_f0.5_wd1.0_softmax_ce_s4,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,190.84547352186775,0.0700406125824629
transformer_add97_permuted_s0,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,143.93560846859344,0.9396199565576768
transformer_add97_permuted_s1,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,136.81828801671924,0.9839134277116971
transformer_add97_permuted_s2,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,125.08456475558067,1.1720663972072123
transformer_add97_permuted_s3,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,104.22719316966402,1.0595130540914866
transformer_add97_permuted_s4,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,91.89809875971082,1.2049203907531012
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,98.66220050018323,0.45037083267083927
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,167.78605647245968,0.4914181162808179
transformer_compose120_f0.6_wd1.0_softmax_ce_s10,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,212.65006508358357,0.5134736322138898
transformer_compose120_f0.6_wd1.0_softmax_ce_s11,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,135.02605732168607,0.5086480554134978
transformer_compose120_f0.6_wd1.0_softmax_ce_s12,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,147.212213829491,0.4281020155889073
transformer_compose120_f0.6_wd1.0_softmax_ce_s13,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,179.88596919007836,0.43370907715464047
transformer_compose120_f0.6_wd1.0_softmax_ce_s14,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,101.61046698578214,0.524879850086363
transformer_compose120_f0.6_wd1.0_softmax_ce_s2,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,156.55228658447885,0.4416291402849533
transformer_compose120_f0.6_wd1.0_softmax_ce_s3,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,145.53957320583186,0.5145309640199758
transformer_compose120_f0.6_wd1.0_softmax_ce_s4,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,191.6695289820527,0.3933247035941923
transformer_compose120_f0.6_wd1.0_softmax_ce_s5,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,184.41117392504782,0.46817142284002433
transformer_compose120_f0.6_wd1.0_softmax_ce_s6,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,169.28700064585604,0.42545120060172964
transformer_compose120_f0.6_wd1.0_softmax_ce_s7,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,162.0773558375234,0.5214269513479788
transformer_compose120_f0.6_wd1.0_softmax_ce_s8,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,185.72352314624877,0.3632691393668742
transformer_compose120_f0.6_wd1.0_softmax_ce_s9,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,212.0016793753549,0.35397500080965666
transformer_compose97_f0.4_wd1.0_softmax_ce_s0,transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,105.08260805510142,1.0096728329722615
transformer_compose97_f0.4_wd1.0_softmax_ce_s1,transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,103.52772690573748,1.0079105805461543
transformer_compose97_f0.5_wd1.0_softmax_ce_s0,transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,65.6708404691603,1.27487199712873
transformer_compose97_f0.5_wd1.0_softmax_ce_s1,transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,131.36023974493145,0.5788915256343731
transformer_compose97_f0.6_wd1.0_softmax_ce_s0,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,238.8615502024279,0.3819439448147534
transformer_compose97_f0.6_wd1.0_softmax_ce_s1,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,140.9480354455158,0.581125246698615
transformer_div97_f0.5_wd1.0_softmax_ce_s0,transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,41.51076391713483,0.7204317559193358
transformer_div97_f0.5_wd1.0_softmax_ce_s1,transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,42.08723539826955,1.4856200424475805
transformer_div97_f0.5_wd1.0_softmax_ce_s2,transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,47.622983812724485,0.8720043825672897
transformer_div97_f0.5_wd1.0_softmax_ce_s3,transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,134.0721535961625,0.44202331618625473
transformer_div97_f0.5_wd1.0_softmax_ce_s4,transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,78.76663559804196,0.996357594767101
transformer_mul97_f0.5_wd1.0_softmax_ce_s0,transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,52.74207859625365,0.057615027218267556
transformer_mul97_f0.5_wd1.0_softmax_ce_s1,transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,67.56866478591976,0.09160361088138826
transformer_mul97_f0.5_wd1.0_softmax_ce_s2,transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,64.64235178378833,0.11484461332080877
transformer_mul97_f0.5_wd1.0_softmax_ce_s3,transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,73.79505837342808,0.05815105892179394
transformer_mul97_f0.5_wd1.0_softmax_ce_s4,transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,48.81212582152213,0.10760733287096082
transformer_poly97_f0.5_wd0.3_softmax_ce_s0,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,0.3,91.42180990600598,0.868991373552061
