run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,44848,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,44848,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,45455,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,45455,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,46061,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,46061,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,46667,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,46667,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,47273,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,47273,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,47879,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,47879,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,48485,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,48485,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,49091,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,49091,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,49697,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,49697,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,50303,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,50303,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,50909,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,50909,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,51515,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,51515,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52121,add,6563,1.0
