panel,run,step,gap,distance,rate,t_g
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,18655,504,3.705663200605722,0.007352506350408179,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,19160,505,0.7923113367850525,0.0015689333401684208,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,19664,504,3.3331461214658002,0.006613385161638493,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,20168,504,3.9363821465840245,0.0078102820368730645,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,20672,504,2.689162805079065,0.005335640486267986,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,21176,504,1.8015803448325793,0.003574564176255118,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,21681,505,2.4125269056748433,0.004777281001336323,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,22185,504,1.897417026663252,0.0037647163227445476,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,22689,504,2.01253574957515,0.003993126487252282,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,23193,504,2.087369681944136,0.0041416065117939205,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,23697,504,3.4588831310922097,0.006862863355341686,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,24202,505,1.1053490978659615,0.0021888100947840823,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,24706,504,3.1482346205869076,0.006246497263069261,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,25210,504,1.7569707470832556,0.0034860530696096343,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,25714,504,1.807938521228002,0.003587179605611115,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,26218,504,3.3199259817862274,0.006587154725766324,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,26723,505,5.351107305033243,0.01059625208917474,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,27227,504,2.0896686540290235,0.004146167964343301,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,27731,504,2.2296026777337294,0.004423814836773273,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,28235,504,2.986140135465484,0.005924881221161675,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,28739,504,3.2518037478310595,0.006451991563156864,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,29244,505,7.566617773638873,0.014983401531958164,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,29748,504,5.856898921997752,0.011620831194439985,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,30252,504,5.928031476987436,0.011761967216244913,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,30756,504,1.7471635369001446,0.0034665943192463185,12000.0
