run,observable,model,operation,modulus,train_fraction,weight_decay,label_permutation,loss,optimizer,t_g,t_top,delta
transformer_add97_f0.3_wd0.1_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,137000.0,38154.0,98846.0
transformer_add97_f0.3_wd0.1_softmax_ce_s2,h1_max_persistence,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,137000.0,127686.0,9314.0
transformer_add97_f0.3_wd0.1_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,41354.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,52654.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s3,h1_max_persistence,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,92523.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,140100.0,127686.0,12414.0
transformer_add97_f0.3_wd0.1_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,140100.0,48580.0,91520.0
transformer_add97_f0.3_wd0.1_softmax_ce_s4,h1_max_persistence,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,140100.0,108692.0,31408.0
transformer_add97_f0.3_wd0.3_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,55400.0,14613.0,40787.0
transformer_add97_f0.3_wd0.3_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,55400.0,28530.0,26870.0
transformer_add97_f0.3_wd0.3_softmax_ce_s0,h1_max_persistence,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,55400.0,55701.0,-301.0
transformer_add97_f0.3_wd0.3_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,41200.0,15741.0,25459.0
transformer_add97_f0.3_wd0.3_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,41200.0,19673.0,21527.0
transformer_add97_f0.3_wd0.3_softmax_ce_s1,h1_max_persistence,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,41200.0,,
transformer_add97_f0.3_wd0.3_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,43800.0,14613.0,29187.0
transformer_add97_f0.3_wd0.3_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,43800.0,41374.0,2426.0
transformer_add97_f0.3_wd0.3_softmax_ce_s2,h1_max_persistence,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,43800.0,,
transformer_add97_f0.3_wd0.3_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,56500.0,13566.0,42934.0
transformer_add97_f0.3_wd0.3_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,56500.0,18264.0,38236.0
transformer_add97_f0.3_wd0.3_softmax_ce_s3,h1_max_persistence,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,56500.0,22827.0,33673.0
transformer_add97_f0.3_wd0.3_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,42600.0,15741.0,26859.0
transformer_add97_f0.3_wd0.3_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,42600.0,35658.0,6942.0
transformer_add97_f0.3_wd0.3_softmax_ce_s4,h1_max_persistence,transformer,add,97,0.3,0.3,False,softmax_ce,adamw,42600.0,,
transformer_add97_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,27600.0,4346.0,23254.0
transformer_add97_f0.3_wd1.0_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,27600.0,11024.0,16576.0
transformer_add97_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,27600.0,22558.0,5042.0
transformer_add97_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,28600.0,20999.0,7601.0
transformer_add97_f0.3_wd1.0_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,28600.0,26031.0,2569.0
transformer_add97_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,28600.0,22558.0,6042.0
transformer_add97_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,30000.0,27963.0,2037.0
transformer_add97_f0.3_wd1.0_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,30000.0,37236.0,-7236.0
transformer_add97_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,30000.0,30039.0,-39.0
transformer_add97_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,97,0.3,1.0,False,softmax_ce,adamw,34700.0,4669.0,30031.0
