stage,step,dim,birth,death,scale,run,t_g
memorising,3025,0,0.0,5.730316162109375,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.735233306884766,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.753884315490723,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.756468296051025,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.773627281188965,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.794130802154541,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.796820163726807,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.79866886138916,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.803011894226074,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.806404113769531,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.813026428222656,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.824000835418701,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.82415771484375,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.83052396774292,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.831806659698486,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.832858562469482,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.862430095672607,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.86818790435791,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.878007888793945,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.897767543792725,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.98589563369751,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,6.098022937774658,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,6.106058120727539,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,6.2276763916015625,6.278705596923828,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,6.17374324798584,6.203354358673096,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,6.031329154968262,6.042978763580322,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,6.014346599578857,6.073121070861816,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,6.0008745193481445,6.0375590324401855,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.993577480316162,6.07219123840332,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.964446067810059,6.067907333374023,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.96347188949585,5.969821453094482,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.959129333496094,6.046955108642578,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.943994998931885,5.945813179016113,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.941259384155273,5.977301120758057,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.933018207550049,6.02383279800415,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.931387424468994,6.001404285430908,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.9055256843566895,6.084715843200684,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.889559745788574,5.943411827087402,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.887946605682373,6.027085781097412,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.883170127868652,5.977746486663818,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.877847194671631,5.957420349121094,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.867568016052246,5.8834967613220215,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.865971565246582,5.870685577392578,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.865236282348633,5.8762593269348145,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.859865665435791,5.877124309539795,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.859376907348633,5.863377571105957,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.82302713394165,5.955951690673828,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.8115034103393555,5.8330841064453125,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.8071608543396,5.914195537567139,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.800876617431641,5.864668369293213,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.780135631561279,5.825524806976318,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.770237922668457,5.809251308441162,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.7670392990112305,5.800394535064697,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.762365341186523,5.834338188171387,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.758753299713135,5.7751007080078125,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.738428115844727,5.929173469543457,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.736769676208496,5.81127405166626,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.725623607635498,5.9453206062316895,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.721868515014648,5.840694904327393,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.716194152832031,5.754754543304443,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.706624507904053,5.864668369293213,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.695105075836182,5.702409267425537,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.69352388381958,5.78695011138916,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.685831069946289,5.926019191741943,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.67663049697876,5.897719860076904,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.6757636070251465,5.807487964630127,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.669573783874512,5.851917266845703,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.660728931427002,5.807487964630127,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.656513690948486,5.8770751953125,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.638678073883057,5.765529632568359,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.637838840484619,5.6534624099731445,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.634033679962158,5.716073036193848,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.62966775894165,5.732321262359619,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.627935886383057,5.7719502449035645,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.625292778015137,5.644236087799072,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.62462043762207,5.656162261962891,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.623739242553711,5.768575668334961,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.614555835723877,5.7148332595825195,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.602696418762207,5.632595539093018,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.601016521453857,5.694464206695557,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.59682559967041,5.7719502449035645,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.566854953765869,5.709610462188721,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.56386661529541,5.597869396209717,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.545853614807129,5.633677005767822,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.544702053070068,5.6217122077941895,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.535107612609863,5.633907318115234,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.534696578979492,5.582574844360352,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.527815818786621,5.6217122077941895,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.525069713592529,5.698674201965332,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.514219760894775,5.587201118469238,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.510659694671631,5.58892822265625,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.496282577514648,5.559495449066162,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.464184284210205,5.681857585906982,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.3931660652160645,5.483213424682617,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.326388359069824,5.525836944580078,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.318788528442383,5.3563690185546875,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.310957908630371,5.540125846862793,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,1,5.284884929656982,5.513123035430908,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.4817679226398468,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.49045252799987793,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.506918728351593,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.5104529857635498,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.5271705389022827,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
grokking,13109,0,0.0,0.52828449010849,0.7357578873634338,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
