run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2,condition,regime
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,0,3.560025679258575,300.0,0.0,0.1309032119296838,0.0,0.0975764527997524,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,1,3.5792264550958914,300.0,0.0,0.1178268138945436,0.0,0.0845249631393216,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,2,3.5419285300354857,300.0,0.0,0.1203381142440167,0.0,0.0955079538891979,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,0,25.455781032657697,300.0,0.0,0.0882748355004749,0.0,0.0477857844400401,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,1,25.51709030626434,300.0,0.0,0.1050738082734984,0.0,0.0422659321952097,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,1,hook_hidden,2,25.74296521884661,300.0,0.0,0.093409187654785,0.0,0.0353579036998377,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,0,183.15377658794415,300.0,0.0,0.0742014446219482,0.0,0.0467368571390549,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,1,175.51078871976617,300.0,0.0,0.0926030172650694,1.0,0.0535666854901644,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,2,logits,2,179.55580018562276,300.0,0.0,0.0660497690877413,0.0,0.0434982113196146,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,0,2.622435825502247,300.0,2.0,0.416612137683233,1.0,0.3550458856043609,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,1,2.6207761555110447,300.0,2.0,0.414486199234754,1.0,0.356410771736651,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,0,operands,2,2.6231717799682053,300.0,2.0,0.4179123218083595,1.0,0.354741863963224,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,0,25.23282463923044,300.0,0.0,0.0297826635143244,0.0,0.0066350330603237,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,1,25.23282463923044,300.0,0.0,0.0286777648212754,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,1,hook_hidden,2,25.23282463923044,300.0,0.0,0.0282636167863244,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,0,180.63744534367635,300.0,0.0,0.0253065498766042,0.0,0.0002513831087972,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,1,180.63744534367635,300.0,0.0,0.0247132825721463,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,2,2,logits,2,180.63744534367635,300.0,0.0,0.0263139406936958,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,0,4.6188837728639385,300.0,0.0,0.0816736582244948,0.0,0.063081548066146,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,1,4.632510700205637,300.0,0.0,0.0792318306073279,0.0,0.0621802452690517,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,0,operands,2,4.613522557121845,300.0,0.0,0.0799115119605132,0.0,0.0580920939418173,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,0,33.28004367543669,300.0,1.0,0.2075519554529065,0.0,0.0441711102854464,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,1,33.48984366275523,300.0,1.0,0.1989912686595344,1.0,0.0590494030034144,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,1,hook_hidden,2,32.8889947326102,300.0,1.0,0.2213960688012525,1.0,0.0580230114999575,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,0,246.6038026057005,300.0,1.0,0.2217834039456048,0.0,0.0299999193000079,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,1,246.7394511432465,300.0,1.0,0.2198324604593401,0.0,0.0381245471301756,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,8,2,logits,2,247.19218576500413,300.0,1.0,0.2246101173178225,0.0,0.0342455211257127,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,0,3.7624777131154983,300.0,0.0,0.1736206060835119,0.0,0.1238616410020729,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,1,3.77157355241466,300.0,0.0,0.1705444405498736,0.0,0.1164438854377795,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,0,operands,2,3.7573197892229073,300.0,0.0,0.1717165665537726,0.0,0.1283421969192817,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,0,30.9750767118694,300.0,1.0,0.3703689177463583,0.0,0.0438647072879276,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,1,31.49122631762921,300.0,1.0,0.366838299756832,0.0,0.049675926699113,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,1,hook_hidden,2,31.544440289594156,300.0,1.0,0.3677367203971748,1.0,0.0512424242894383,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,0,237.46606330818855,300.0,1.0,0.3214535160580177,0.0,0.0332650746570509,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,1,235.19127312619065,300.0,1.0,0.3231867373967015,0.0,0.0356128178706502,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,4,2,logits,2,237.46606330818855,300.0,1.0,0.3183615793354595,0.0,0.0425727400909994,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,0,2.943389154897257,300.0,2.0,0.4763115050388786,1.0,0.4255473639783191,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,1,2.941417761783208,300.0,2.0,0.4788230606663866,1.0,0.4255027379950039,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,0,operands,2,2.940439434826239,300.0,2.0,0.4834501773109448,1.0,0.4236858795050072,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,0,28.033581210708103,300.0,1.0,0.5175565333237088,0.0,0.0004782390604778,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,1,28.033581210708103,300.0,1.0,0.5203688455381604,0.0,0.0003232485099346,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,1,hook_hidden,2,28.033581210708103,300.0,1.0,0.5180844762650587,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,0,224.13602598823584,300.0,1.0,0.4303476766491668,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,1,224.13602598823584,300.0,1.0,0.4396161925184553,0.0,4.3161612342197777e-05,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,after,60000,2,2,logits,2,224.13602598823584,300.0,1.0,0.431498248054517,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,0,19.912694992959693,300.0,0.0,0.1075933328754689,0.0,0.0554534692619339,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,1,20.150354719997257,300.0,0.0,0.0999089488925865,0.0,0.0464539123907444,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,2,20.016320013235912,300.0,0.0,0.105007935662647,0.0,0.0518577370765183,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,0,3.270334095267028,300.0,0.0,0.0715282909448917,0.0,0.0480752751189764,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,1,3.270334095267028,300.0,0.0,0.0687349412729326,0.0,0.0488237928804563,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,2,3.270334095267028,300.0,0.0,0.0598346169150894,1.0,0.0553979327581458,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,0,1.3125024777321157,300.0,0.0,0.0850217440329563,0.0,0.0541605381092065,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,1,1.3563225361371998,300.0,0.0,0.0817955895390491,0.0,0.056737730701579,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,2,1.3563225361371998,300.0,0.0,0.075652431647889,0.0,0.0657839025324995,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,0,operands,0,18.287304938418888,300.0,0.0,0.1067551939632824,0.0,0.0607551385232731,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
