step,train_acc,test_acc,run,model,loss,optimizer,lr,weight_decay,t_g,diverged
13100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
13900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
14900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
